sciname,common_name
Canis latrans,Coyote
Dasypus novemcinctus,Nine-banded Armadillo
Didelphis virginiana,Virginia Opossum
Glaucomys sabrinus,Northern Flying Squirrel
Lepus americanus,Snowshoe Hare
Lepus californicus,Black-tailed Jackrabbit
Lynx rufus,Bobcat
Marmota monax,Woodchuck
Mephitis mephitis,Striped Skunk
Odocoileus hemionus,Mule Deer
Odocoileus virginianus,White-tailed Deer
Procyon lotor,Northern Raccoon
Sciurus carolinensis,Eastern Gray Squirrel
Sciurus griseus,Western Gray Squirrel
Sciurus niger,Eastern Fox Squirrel
Sylvilagus audubonii,Desert Cottontail
Sylvilagus floridanus,Eastern Cottontail
Tamias striatus,Eastern Chipmunk
Tamiasciurus douglasii,Douglas's Squirrel
Tamiasciurus hudsonicus,North American Red Squirrel
Urocyon cinereoargenteus,Northern Gray Fox
Ursus americanus,American Black Bear
Vulpes vulpes,Red Fox
