Species,ModType,Submodel,Param,Estimate,SE
Alces alces,1-day SOM,Detection,Intercept,-8.112482219542363,1.655712061156616
Alces alces,1-day SOM,Detection,Canopy height,-0.9364957800204048,0.29055402383103995
Alces alces,1-day SOM,Detection,Log dist. to road,4.112766775862523,2.028344101058401
Alces alces,1-day SOM,Occupancy,Intercept,2.036138230581211,2.3217990443581384
Alces alces,1-day SOM,Occupancy,Max temp.,2.6296422447631045,2.4964822526645
Alces alces,1-day SOM,Occupancy,Pct. forest cover,-0.16926399226565053,1.0655416384624474
Alces alces,10-day SOM,Detection,Intercept,-6.322162543257489,2.1037837627567217
Alces alces,10-day SOM,Detection,Canopy height,-1.0042113465665925,0.364353898347008
Alces alces,10-day SOM,Detection,Log dist. to road,4.6670775257745465,2.5977149587820403
Alces alces,10-day SOM,Occupancy,Intercept,2.132214494893502,2.8465444241382203
Alces alces,10-day SOM,Occupancy,Max temp.,2.602023543988584,2.7311749572123745
Alces alces,10-day SOM,Occupancy,Pct. forest cover,-0.13695383445553108,1.0912729002885349
Alces alces,Clustered,Detection,Intercept,-7.419828946901868,NA
Alces alces,Clustered,Detection,Canopy height,-0.9569584509439096,NA
Alces alces,Clustered,Detection,Log dist. to road,4.136254848491095,NA
Alces alces,Clustered,Occupancy,Intercept,1.9765722596362088,NA
Alces alces,Clustered,Occupancy,Max temp.,2.599228133348507,NA
Alces alces,Clustered,Occupancy,Pct. forest cover,-0.17375134148938998,NA
Alces alces,Clustered,Site use,Theta,13.092679681431434,NA
Alces alces,Clustered,Site use,Theta Prime,-47.40559161913493,NA
Antilocapra americana,1-day SOM,Detection,Intercept,-2.4169828999142204,0.1279594486041059
Antilocapra americana,1-day SOM,Detection,Canopy height,0.00157794136430275,0.08938505448584967
Antilocapra americana,1-day SOM,Detection,Log dist. to road,-0.3284815389940713,0.2506181427696142
Antilocapra americana,1-day SOM,Occupancy,Intercept,-1.611865214315616,0.28265299961075807
Antilocapra americana,1-day SOM,Occupancy,Max temp.,-1.9114276566783508,0.43908560476663616
Antilocapra americana,1-day SOM,Occupancy,Pct. forest cover,-1.3823993225966904,0.5034559263521116
Antilocapra americana,10-day SOM,Detection,Intercept,-0.495779126864808,0.25184633822380004
Antilocapra americana,10-day SOM,Detection,Canopy height,-0.14424215140163402,0.16263367887146635
Antilocapra americana,10-day SOM,Detection,Log dist. to road,0.3917493173137472,0.32439017982782614
Antilocapra americana,10-day SOM,Occupancy,Intercept,-1.3196782937865517,0.3677864992102658
Antilocapra americana,10-day SOM,Occupancy,Max temp.,-2.656489428995747,0.8812428195988392
Antilocapra americana,10-day SOM,Occupancy,Pct. forest cover,-1.6374006812741309,0.6592726391461728
Antilocapra americana,Clustered,Detection,Intercept,-2.404425285768041,0.36812115191904976
Antilocapra americana,Clustered,Detection,Canopy height,0.00150414254508823,0.08948742513449391
Antilocapra americana,Clustered,Detection,Log dist. to road,-0.3285459433597579,0.2510762851867225
Antilocapra americana,Clustered,Occupancy,Intercept,-1.6118626426306124,0.2826568196712232
Antilocapra americana,Clustered,Occupancy,Max temp.,-1.9116126985766415,0.4391220915109744
Antilocapra americana,Clustered,Occupancy,Pct. forest cover,-1.3826879575505462,0.5035064159329657
Antilocapra americana,Clustered,Site use,Theta,4.2307503045559605,NA
Antilocapra americana,Clustered,Site use,Theta Prime,4.449687400634633,27.94879803087128
Canis latrans,1-day SOM,Detection,Intercept,-2.546869270123699,0.03011632840270593
Canis latrans,1-day SOM,Detection,Canopy height,-0.3183072650906322,0.03106652127307879
Canis latrans,1-day SOM,Detection,Log dist. to road,-0.1834726436397659,0.03211685756022422
Canis latrans,1-day SOM,Occupancy,Intercept,-0.41901715579967064,0.06421634661307389
Canis latrans,1-day SOM,Occupancy,Max temp.,0.3196071362247307,0.07062668621805415
Canis latrans,1-day SOM,Occupancy,Pct. forest cover,0.2195993831515862,0.06916075063086315
Canis latrans,10-day SOM,Detection,Intercept,-0.46281752402388165,0.05915797266652373
Canis latrans,10-day SOM,Detection,Canopy height,-0.28375618867633245,0.06054751757712341
Canis latrans,10-day SOM,Detection,Log dist. to road,-0.17500066143718324,0.06261571891297392
Canis latrans,10-day SOM,Occupancy,Intercept,-0.1526840384803668,0.08213048650853902
Canis latrans,10-day SOM,Occupancy,Max temp.,0.3239317956413365,0.08137164398925802
Canis latrans,10-day SOM,Occupancy,Pct. forest cover,0.19523862655001512,0.08580543278387834
Canis latrans,Clustered,Detection,Intercept,-1.187925332934825,0.08846213422747082
Canis latrans,Clustered,Detection,Canopy height,-0.4574866597133067,0.05061781397910024
Canis latrans,Clustered,Detection,Log dist. to road,-0.3235963211250799,0.05832962426872836
Canis latrans,Clustered,Occupancy,Intercept,0.06355702315063498,0.10196315941599517
Canis latrans,Clustered,Occupancy,Max temp.,0.3982622211842728,0.08913006381261171
Canis latrans,Clustered,Occupancy,Pct. forest cover,0.28620180861514005,0.09155582268619984
Canis latrans,Clustered,Site use,Theta,-2.7902060380483555,0.09724629449344316
Canis latrans,Clustered,Site use,Theta Prime,1.5900287311173606,0.15085970648020655
Canis lupus,1-day SOM,Detection,Intercept,-3.713206003369974,0.2870735979589076
Canis lupus,1-day SOM,Detection,Canopy height,0.2033018621119632,0.24804340652043655
Canis lupus,1-day SOM,Detection,Log dist. to road,-0.523243763593061,0.18766102537658724
Canis lupus,1-day SOM,Occupancy,Intercept,-0.6599838638039484,0.3636504570777323
Canis lupus,1-day SOM,Occupancy,Max temp.,-0.6382232764731959,0.29018572439076057
Canis lupus,1-day SOM,Occupancy,Pct. forest cover,0.5402352877385639,0.3566726610967647
Canis lupus,10-day SOM,Detection,Intercept,-2.062456413936848,0.3445430305677282
Canis lupus,10-day SOM,Detection,Canopy height,-0.14959506161386182,0.3156577803902145
Canis lupus,10-day SOM,Detection,Log dist. to road,-0.8978240644133585,0.275448752516404
Canis lupus,10-day SOM,Occupancy,Intercept,0.10088669181826156,0.6515576616501506
Canis lupus,10-day SOM,Occupancy,Max temp.,-0.917778464788136,0.4304126337740264
Canis lupus,10-day SOM,Occupancy,Pct. forest cover,1.1185720232977667,0.6278176846256461
Canis lupus,Clustered,Detection,Intercept,1.2054343845887203,1.0281433472256178
Canis lupus,Clustered,Detection,Canopy height,-1.050810138443348,0.5400020275876907
Canis lupus,Clustered,Detection,Log dist. to road,-6.216912182934611,1.9056635987786612
